Activity,SubCategory,Year,TotalEmission
5A,5A1,2010,892.43
5A,5A1,2012,1173.31
5A,5A1,2014,1286.31
5A,5A1,2016,2067.92
5A,5A1,2018,2433.74
5A,5A1,2020,2796.36
5A,5A1,2021,3028.88
5A,5A1,2022,3183.21
5A,5A2,2010,806.17
5A,5A2,2012,881.16
5A,5A2,2014,1160.81
5A,5A2,2016,692.77
5A,5A2,2018,500.64
5A,5A2,2020,539.52
5A,5A2,2021,468
5A,5A2,2022,482.72
5B,5B1,2010,1.06
5B,5B1,2012,1.41
5B,5B1,2014,7.12
5B,5B1,2016,5.2
5B,5B1,2018,6.46
5B,5B1,2020,7.04
5B,5B1,2021,7.38
5B,5B1,2022,6.45
5C,5C1,2010,13.37
5C,5C1,2012,14.44
5C,5C1,2014,15.22
5C,5C1,2016,15.12
5C,5C1,2018,15.46
5C,5C1,2020,21.82
5C,5C1,2021,13.34
5C,5C1,2022,17.2
5D,5D1,2010,405.26
5D,5D1,2012,474.51
5D,5D1,2014,487.37
5D,5D1,2016,492.64
5D,5D1,2018,505.78
5D,5D1,2020,511.49
5D,5D1,2021,518.66
5D,5D1,2022,505.69
5D,5D2,2010,153.61
5D,5D2,2012,442.24
5D,5D2,2014,185.02
5D,5D2,2016,579.69
5D,5D2,2018,630.4
5D,5D2,2020,574.23
5D,5D2,2021,490.49
5D,5D2,2022,595.26