Sector,Strategy,Year,AnnualEmissions
energy,BAU,2010,37183.821514
energy,BAU,2011,36596.564646
energy,BAU,2012,37641.467679
energy,BAU,2013,40543.672398
energy,BAU,2014,42534.101653
energy,BAU,2015,42893.263890
energy,BAU,2016,41907.769636
energy,BAU,2017,41693.152041
energy,BAU,2018,43291.640715
energy,BAU,2019,41495.895411
energy,BAU,2020,36293.253360
energy,BAU,2021,40781.482010
energy,BAU,2022,44076.652570
energy,BAU,2023,45923.583280
energy,BAU,2024,46457.562190
energy,BAU,2025,48283.906490
energy,BAU,2026,46549.234490
energy,BAU,2027,48133.301580
energy,BAU,2028,48527.331230
energy,BAU,2029,50354.306770
energy,BAU,2030,51293.953340
energy,BAU,2031,53655.475600
energy,BAU,2032,54636.875380
energy,BAU,2033,56887.283250
energy,BAU,2034,57944.306620
energy,BAU,2035,59901.113590
energy,BAU1NDC,2010,37183.724514
energy,BAU1NDC,2011,36756.060722
energy,BAU1NDC,2012,38003.962831
energy,BAU1NDC,2013,40984.106252
energy,BAU1NDC,2014,43147.944208
energy,BAU1NDC,2015,43198.384830
energy,BAU1NDC,2016,43472.803960
energy,BAU1NDC,2017,45161.874012
energy,BAU1NDC,2018,46110.068632
energy,BAU1NDC,2019,47314.153130
energy,BAU1NDC,2020,41917.264586
energy,BAU1NDC,2021,46450.694092
energy,BAU1NDC,2022,49194.707382
energy,BAU1NDC,2023,50598.707092
energy,BAU1NDC,2024,51181.114002
energy,BAU1NDC,2025,53244.737902
energy,BAU1NDC,2026,53162.646302
energy,BAU1NDC,2027,55624.580392
energy,BAU1NDC,2028,56641.510042
energy,BAU1NDC,2029,58682.733582
energy,BAU1NDC,2030,59634.650152
energy,BAU1NDC,2031,62001.969412
energy,BAU1NDC,2032,62981.959192
energy,BAU1NDC,2033,65230.405062
energy,BAU1NDC,2034,66280.147432
energy,BAU1NDC,2035,68229.102402
energy,NDCCON,2010,37183.818514
energy,NDCCON,2011,36596.561646
energy,NDCCON,2012,37641.475679
energy,NDCCON,2013,40543.670398
energy,NDCCON,2014,42534.108653
energy,NDCCON,2015,42893.265890
energy,NDCCON,2016,41907.759636
energy,NDCCON,2017,41693.160041
energy,NDCCON,2018,43291.630715
energy,NDCCON,2019,41495.883411
energy,NDCCON,2020,36293.252360
energy,NDCCON,2021,40781.472010
energy,NDCCON,2022,44076.672570
energy,NDCCON,2023,45923.573280
energy,NDCCON,2024,46457.552190
energy,NDCCON,2025,48283.916490
energy,NDCCON,2026,46549.224490
energy,NDCCON,2027,48015.141580
energy,NDCCON,2028,48389.351230
energy,NDCCON,2029,50204.736770
energy,NDCCON,2030,51125.603340
energy,NDCCON,2031,52081.585600
energy,NDCCON,2032,51268.445380
energy,NDCCON,2033,51804.783250
energy,NDCCON,2034,51131.916620
energy,NDCCON,2035,51453.743590
energy,NDCINC,2010,37183.821514
energy,NDCINC,2011,36596.564646
energy,NDCINC,2012,37641.467679
energy,NDCINC,2013,40543.672398
energy,NDCINC,2014,42534.101653
energy,NDCINC,2015,42893.263890
energy,NDCINC,2016,41907.769636
energy,NDCINC,2017,41693.152041
energy,NDCINC,2018,43291.640715
energy,NDCINC,2019,41495.895411
energy,NDCINC,2020,36293.253360
energy,NDCINC,2021,40781.482010
energy,NDCINC,2022,44076.652570
energy,NDCINC,2023,45923.583280
energy,NDCINC,2024,46457.562190
energy,NDCINC,2025,48283.906490
energy,NDCINC,2026,46549.234490
energy,NDCINC,2027,48133.301580
energy,NDCINC,2028,48527.331230
energy,NDCINC,2029,50354.306770
energy,NDCINC,2030,51293.953340
energy,NDCINC,2031,53655.475600
energy,NDCINC,2032,54636.875380
energy,NDCINC,2033,56887.283250
energy,NDCINC,2034,57944.306620
energy,NDCINC,2035,59901.113590
ippu,BAU,2010,2420.11
ippu,BAU,2011,2557.9700000000003
ippu,BAU,2012,2698.07
ippu,BAU,2013,2737.44
ippu,BAU,2014,2776.98
ippu,BAU,2015,2771.19
ippu,BAU,2016,2767.0699999999997
ippu,BAU,2017,2890.86
ippu,BAU,2018,3014.5299999999997
ippu,BAU,2019,2996.17
ippu,BAU,2020,2977.71
ippu,BAU,2021,3834.16
ippu,BAU,2022,4461.110000000001
ippu,BAU,2023,5010.49
ippu,BAU,2024,5558.5
ippu,BAU,2025,6105.57
ippu,BAU,2026,6636.049999999999
ippu,BAU,2027,7165.050000000001
ippu,BAU,2028,7693.39
ippu,BAU,2029,8220.150000000001
ippu,BAU,2030,8745.55
ippu,BAU,2031,8876.36
ippu,BAU,2032,9006.900000000001
ippu,BAU,2033,9137.82
ippu,BAU,2034,9269.31
ippu,BAU,2035,9400.76
ippu,NDCcond,2010,2420.11
ippu,NDCcond,2011,2557.9700000000003
ippu,NDCcond,2012,2698.07
ippu,NDCcond,2013,2737.44
ippu,NDCcond,2014,2776.98
ippu,NDCcond,2015,2771.19
ippu,NDCcond,2016,2767.0699999999997
ippu,NDCcond,2017,2854.83
ippu,NDCcond,2018,2942.6
ippu,NDCcond,2019,2888.45
ippu,NDCcond,2020,2834.29
ippu,NDCcond,2021,3654.7799999999997
ippu,NDCcond,2022,4245.7
ippu,NDCcond,2023,4759.36
ippu,NDCcond,2024,5271.44
ippu,NDCcond,2025,5782.37
ippu,NDCcond,2026,6213.26
ippu,NDCcond,2027,6642.280000000001
ippu,NDCcond,2028,7070.34
ippu,NDCcond,2029,7497.450000000001
ippu,NDCcond,2030,7948.91
ippu,NDCcond,2031,8005.61
ippu,NDCcond,2032,8062.52
ippu,NDCcond,2033,8119.49
ippu,NDCcond,2034,8177.0
ippu,NDCcond,2035,8234.67
ippu,NDCincond,2010,2420.11
ippu,NDCincond,2011,2557.9700000000003
ippu,NDCincond,2012,2698.07
ippu,NDCincond,2013,2737.44
ippu,NDCincond,2014,2776.98
ippu,NDCincond,2015,2771.19
ippu,NDCincond,2016,2767.0699999999997
ippu,NDCincond,2017,2854.83
ippu,NDCincond,2018,2942.6
ippu,NDCincond,2019,2888.45
ippu,NDCincond,2020,2834.29
ippu,NDCincond,2021,3654.7799999999997
ippu,NDCincond,2022,4245.7
ippu,NDCincond,2023,4759.36
ippu,NDCincond,2024,5271.44
ippu,NDCincond,2025,5782.37
ippu,NDCincond,2026,6213.26
ippu,NDCincond,2027,6642.280000000001
ippu,NDCincond,2028,7070.34
ippu,NDCincond,2029,7497.450000000001
ippu,NDCincond,2030,7948.91
ippu,NDCincond,2031,8005.61
ippu,NDCincond,2032,8062.52
ippu,NDCincond,2033,8119.49
ippu,NDCincond,2034,8177.0
ippu,NDCincond,2035,8234.67
waste,BAU,2010,2271.86
waste,BAU,2011,2629.2200000000003
waste,BAU,2012,2987.2000000000003
waste,BAU,2013,3064.31
waste,BAU,2014,3141.99
waste,BAU,2015,3536.21
waste,BAU,2016,3939.5099999999998
waste,BAU,2017,4152.85
waste,BAU,2018,4374.990000000001
waste,BAU,2019,4554.47
waste,BAU,2020,4733.83
waste,BAU,2021,4802.95
waste,BAU,2022,5069.15
waste,BAU,2023,5600.74
waste,BAU,2024,6172.33
waste,BAU,2025,6688.19
waste,BAU,2026,7264.719999999999
waste,BAU,2027,8110.929999999999
waste,BAU,2028,8868.53
waste,BAU,2029,9675.470000000001
waste,BAU,2030,10547.3
waste,BAU,2031,11256.9
waste,BAU,2032,12014.099999999999
waste,BAU,2033,12804.0
waste,BAU,2034,13644.199999999999
waste,BAU,2035,14533.2
waste,NDCcond,2010,2271.86
waste,NDCcond,2011,2629.2200000000003
waste,NDCcond,2012,2987.2000000000003
waste,NDCcond,2013,3064.31
waste,NDCcond,2014,3141.99
waste,NDCcond,2015,3540.6
waste,NDCcond,2016,3939.5099999999998
waste,NDCcond,2017,4157.2
waste,NDCcond,2018,4374.990000000001
waste,NDCcond,2019,4554.36
waste,NDCcond,2020,4733.83
waste,NDCcond,2021,4796.95
waste,NDCcond,2022,5057.15
waste,NDCcond,2023,5582.61
waste,NDCcond,2024,6148.21
waste,NDCcond,2025,6658.1900000000005
waste,NDCcond,2026,7245.429999999999
waste,NDCcond,2027,8066.530000000001
waste,NDCcond,2028,8799.22
waste,NDCcond,2029,9568.38
waste,NDCcond,2030,10440.099999999999
waste,NDCcond,2031,11119.5
waste,NDCcond,2032,11846.6
waste,NDCcond,2033,12606.3
waste,NDCcond,2034,13386.1
waste,NDCcond,2035,14214.800000000001
waste,NDCincond,2010,2271.86
waste,NDCincond,2011,2629.2200000000003
waste,NDCincond,2012,2987.2000000000003
waste,NDCincond,2013,3064.31
waste,NDCincond,2014,3141.99
waste,NDCincond,2015,3540.6
waste,NDCincond,2016,3939.5099999999998
waste,NDCincond,2017,4157.2
waste,NDCincond,2018,4374.990000000001
waste,NDCincond,2019,4554.36
waste,NDCincond,2020,4733.83
waste,NDCincond,2021,4796.95
waste,NDCincond,2022,5057.15
waste,NDCincond,2023,5582.61
waste,NDCincond,2024,6148.21
waste,NDCincond,2025,6658.1900000000005
waste,NDCincond,2026,7251.87
waste,NDCincond,2027,8079.25
waste,NDCincond,2028,8818.23
waste,NDCincond,2029,9606.69
waste,NDCincond,2030,10497.6
waste,NDCincond,2031,11196.199999999999
waste,NDCincond,2032,11942.5
waste,NDCincond,2033,12721.5
waste,NDCincond,2034,13550.5
waste,NDCincond,2035,14426.3
agriculture,BAU,2010,15006.0337
agriculture,BAU,2011,14909.017800000001
agriculture,BAU,2012,14812.818500000001
agriculture,BAU,2013,14223.5031
agriculture,BAU,2014,13635.0386
agriculture,BAU,2015,13102.989300000001
agriculture,BAU,2016,12914.256800000001
agriculture,BAU,2017,12865.3234
agriculture,BAU,2018,12585.7316
agriculture,BAU,2019,13611.921199999999
agriculture,BAU,2020,13761.1477
agriculture,BAU,2021,13262.6568
agriculture,BAU,2022,12582.651300000001
agriculture,BAU,2023,13562.8267
agriculture,BAU,2024,13979.4611
agriculture,BAU,2025,14204.389799999999
agriculture,BAU,2026,14616.460799999999
agriculture,BAU,2027,14927.044699999999
agriculture,BAU,2028,15241.552099999997
agriculture,BAU,2029,15547.6136
agriculture,BAU,2030,15865.6492
agriculture,BAU,2031,16063.3415
agriculture,BAU,2032,16362.562499999998
agriculture,BAU,2033,16674.821500000002
agriculture,BAU,2034,16967.5032
agriculture,BAU,2035,17258.0164
agriculture,NDCCON,2010,15006.0337
agriculture,NDCCON,2011,14909.017800000001
agriculture,NDCCON,2012,14812.818500000001
agriculture,NDCCON,2013,14223.4931
agriculture,NDCCON,2014,13635.028600000001
agriculture,NDCCON,2015,13102.999300000001
agriculture,NDCCON,2016,12914.256800000001
agriculture,NDCCON,2017,12865.3334
agriculture,NDCCON,2018,12569.041599999999
agriculture,NDCCON,2019,13595.0612
agriculture,NDCCON,2020,13738.6677
agriculture,NDCCON,2021,13244.7368
agriculture,NDCCON,2022,12562.3513
agriculture,NDCCON,2023,13544.8967
agriculture,NDCCON,2024,13961.5211
agriculture,NDCCON,2025,14186.4798
agriculture,NDCCON,2026,14611.2408
agriculture,NDCCON,2027,14921.814699999999
agriculture,NDCCON,2028,15029.162099999998
agriculture,NDCCON,2029,15252.8336
agriculture,NDCCON,2030,15502.2992
agriculture,NDCCON,2031,15629.9015
agriculture,NDCCON,2032,15857.842499999999
agriculture,NDCCON,2033,16135.421499999999
agriculture,NDCCON,2034,16422.603199999998
agriculture,NDCCON,2035,16707.7164
agriculture,NDCINC,2010,15006.0337
agriculture,NDCINC,2011,14909.017800000001
agriculture,NDCINC,2012,14812.818500000001
agriculture,NDCINC,2013,14223.4931
agriculture,NDCINC,2014,13635.028600000001
agriculture,NDCINC,2015,13102.999300000001
agriculture,NDCINC,2016,12914.256800000001
agriculture,NDCINC,2017,12865.3334
agriculture,NDCINC,2018,12569.041599999999
agriculture,NDCINC,2019,13595.0612
agriculture,NDCINC,2020,13738.6677
agriculture,NDCINC,2021,13244.7368
agriculture,NDCINC,2022,12562.3513
agriculture,NDCINC,2023,13544.8967
agriculture,NDCINC,2024,13961.5211
agriculture,NDCINC,2025,14186.4798
agriculture,NDCINC,2026,14611.2408
agriculture,NDCINC,2027,14921.814699999999
agriculture,NDCINC,2028,15236.3321
agriculture,NDCINC,2029,15547.6136
agriculture,NDCINC,2030,15865.6492
agriculture,NDCINC,2031,16063.3415
agriculture,NDCINC,2032,16362.562499999998
agriculture,NDCINC,2033,16674.821500000002
agriculture,NDCINC,2034,16967.5032
agriculture,NDCINC,2035,17258.0164
uscuss,BAU,2010,35105.1
uscuss,BAU,2011,33856.8
uscuss,BAU,2012,32609.4
uscuss,BAU,2013,31784.7
uscuss,BAU,2014,30960.6
uscuss,BAU,2015,29500.7
uscuss,BAU,2016,28039.3
uscuss,BAU,2017,24144.3
uscuss,BAU,2018,20277.5
uscuss,BAU,2019,19899.1
uscuss,BAU,2020,20300.7
uscuss,BAU,2021,24615.5
uscuss,BAU,2022,25829.5
uscuss,BAU,2023,22959.9
uscuss,BAU,2024,22726.5
uscuss,BAU,2025,22496.8
uscuss,BAU,2026,22268.3
uscuss,BAU,2027,22040.3
uscuss,BAU,2028,21814.0
uscuss,BAU,2029,21591.4
uscuss,BAU,2030,21369.4
uscuss,BAU,2031,21148.8
uscuss,BAU,2032,20929.6
uscuss,BAU,2033,20708.0
uscuss,BAU,2034,20494.1
uscuss,BAU,2035,20275.0
uscuss,NDC,2010,35105.1
uscuss,NDC,2011,33856.8
uscuss,NDC,2012,32609.4
uscuss,NDC,2013,31784.7
uscuss,NDC,2014,30960.6
uscuss,NDC,2015,29500.7
uscuss,NDC,2016,28039.3
uscuss,NDC,2017,24144.3
uscuss,NDC,2018,20277.5
uscuss,NDC,2019,19899.1
uscuss,NDC,2020,20300.7
uscuss,NDC,2021,24615.5
uscuss,NDC,2022,25829.5
uscuss,NDC,2023,22959.9
uscuss,NDC,2024,22726.5
uscuss,NDC,2025,22496.8
uscuss,NDC,2026,20588.1
uscuss,NDC,2027,20066.2
uscuss,NDC,2028,19546.1
uscuss,NDC,2029,19189.6
uscuss,NDC,2030,18673.5
uscuss,NDC,2031,18158.5
uscuss,NDC,2032,17645.0
uscuss,NDC,2033,17129.1
uscuss,NDC,2034,16620.9
uscuss,NDC,2035,16107.4
uscuss,NDCCON,2010,35105.1
uscuss,NDCCON,2011,33856.8
uscuss,NDCCON,2012,32609.4
uscuss,NDCCON,2013,31784.7
uscuss,NDCCON,2014,30960.6
uscuss,NDCCON,2015,29500.7
uscuss,NDCCON,2016,28039.3
uscuss,NDCCON,2017,24144.3
uscuss,NDCCON,2018,20277.5
uscuss,NDCCON,2019,19899.1
uscuss,NDCCON,2020,20300.7
uscuss,NDCCON,2021,24615.5
uscuss,NDCCON,2022,25829.5
uscuss,NDCCON,2023,22959.9
uscuss,NDCCON,2024,22726.5
uscuss,NDCCON,2025,22496.8
uscuss,NDCCON,2026,20750.0
uscuss,NDCCON,2027,20227.9
uscuss,NDCCON,2028,19707.5
uscuss,NDCCON,2029,19190.6
uscuss,NDCCON,2030,18674.5
uscuss,NDCCON,2031,18159.6
uscuss,NDCCON,2032,17646.0
uscuss,NDCCON,2033,17130.1
uscuss,NDCCON,2034,16622.0
uscuss,NDCCON,2035,16108.4
uscuss,NDCINC,2010,35105.1
uscuss,NDCINC,2011,33856.8
uscuss,NDCINC,2012,32609.4
uscuss,NDCINC,2013,31784.7
uscuss,NDCINC,2014,30960.6
uscuss,NDCINC,2015,29500.7
uscuss,NDCINC,2016,28039.3
uscuss,NDCINC,2017,24144.3
uscuss,NDCINC,2018,20277.5
uscuss,NDCINC,2019,19899.1
uscuss,NDCINC,2020,20300.7
uscuss,NDCINC,2021,24615.5
uscuss,NDCINC,2022,25829.5
uscuss,NDCINC,2023,22959.9
uscuss,NDCINC,2024,22726.5
uscuss,NDCINC,2025,22496.8
uscuss,NDCINC,2026,22106.3
uscuss,NDCINC,2027,21878.6
uscuss,NDCINC,2028,21652.5
uscuss,NDCINC,2029,21590.3
uscuss,NDCINC,2030,21368.3
uscuss,NDCINC,2031,21147.7
uscuss,NDCINC,2032,20928.5
uscuss,NDCINC,2033,20706.9
uscuss,NDCINC,2034,20493.1
uscuss,NDCINC,2035,20274.0